Frequency (Hz)	Level (dB)
5.383301	-97.031586
10.766602	-93.758774
16.149902	-85.798790
21.533203	-80.807770
26.916504	-79.816635
32.299805	-72.591927
37.683105	-69.093201
43.066406	-68.626190
48.449707	-69.070763
53.833008	-70.735062
59.216309	-72.506088
64.599609	-71.076599
69.982910	-70.857445
75.366211	-74.108154
80.749512	-75.950615
86.132812	-75.222267
91.516113	-76.759499
96.899414	-68.763527
102.282715	-55.416149
107.666016	-39.856270
113.049316	-27.790091
118.432617	-19.943958
123.815918	-16.338875
129.199219	-16.973820
134.582520	-21.859257
139.965820	-31.062288
145.349121	-44.980534
150.732422	-63.611526
156.115723	-66.467476
161.499023	-69.585136
166.882324	-71.873466
172.265625	-70.423088
177.648926	-69.077477
183.032227	-69.326675
188.415527	-71.789833
193.798828	-79.400459
199.182129	-74.338943
204.565430	-67.472107
209.948730	-64.181999
215.332031	-62.758869
220.715332	-63.404396
226.098633	-62.345398
231.481934	-50.044231
236.865234	-37.336952
242.248535	-28.152899
247.631836	-23.060911
253.015137	-22.171963
258.398438	-25.513512
263.781738	-33.108578
269.165039	-44.903130
274.548340	-57.805500
279.931641	-63.672848
285.314941	-66.771492
290.698242	-68.129349
296.081543	-69.246208
301.464844	-69.167175
306.848145	-69.714790
312.231445	-67.580475
317.614746	-66.105804
322.998047	-69.175232
328.381348	-67.845741
333.764648	-65.321678
339.147949	-66.403267
344.531250	-67.136177
349.914551	-63.925465
355.297852	-57.977825
360.681152	-47.268692
366.064453	-37.194408
371.447754	-30.717461
376.831055	-28.316046
382.214355	-30.082191
387.597656	-36.024426
392.980957	-45.936348
398.364258	-56.919456
403.747559	-61.733242
409.130859	-63.637508
414.514160	-64.211861
419.897461	-64.665344
425.280762	-67.312538
430.664062	-70.436081
436.047363	-70.153404
441.430664	-72.955803
446.813965	-72.287399
452.197266	-66.513763
457.580566	-64.774971
462.963867	-65.393661
468.347168	-65.216286
473.730469	-64.022194
479.113770	-61.394928
484.497070	-51.917904
489.880371	-40.948616
495.263672	-33.257423
500.646973	-29.561586
506.030273	-30.002220
511.413574	-34.577549
516.796875	-42.773811
522.180176	-50.101818
527.563477	-51.961201
532.946777	-52.512062
538.330078	-52.425274
543.713379	-53.017979
549.096680	-55.765167
554.479980	-62.481880
559.863281	-57.443405
565.246582	-53.869595
570.629883	-56.375362
576.013184	-60.114925
581.396484	-52.326702
586.779785	-50.148178
592.163086	-51.417175
597.546387	-53.311043
602.929688	-52.690357
608.312988	-46.905342
613.696289	-36.357086
619.079590	-27.352877
624.462891	-22.158882
629.846191	-21.119289
635.229492	-24.301008
640.612793	-31.739023
645.996094	-42.915771
651.379395	-53.066643
656.762695	-63.688297
662.145996	-52.785542
667.529297	-49.913368
672.912598	-51.294949
678.295898	-56.029301
683.679199	-59.055435
689.062500	-56.468399
694.445801	-56.987049
699.829102	-60.219677
705.212402	-56.674168
710.595703	-52.819603
715.979004	-52.370663
721.362305	-54.507626
726.745605	-55.639091
732.128906	-52.017136
737.512207	-45.598877
742.895508	-36.893799
748.278809	-30.319092
753.662109	-27.656590
759.045410	-29.135456
764.428711	-34.800224
769.812012	-44.781746
775.195312	-56.759182
780.578613	-58.375965
785.961914	-59.314083
791.345215	-60.248631
796.728516	-59.889439
802.111816	-59.833534
807.495117	-56.939938
812.878418	-54.864082
818.261719	-56.058357
823.645020	-58.972015
829.028320	-59.795696
834.411621	-55.867500
839.794922	-52.626556
845.178223	-52.191719
850.561523	-53.567947
855.944824	-53.847591
861.328125	-48.895252
866.711426	-40.870201
872.094727	-33.883457
877.478027	-30.162041
882.861328	-30.356674
888.244629	-34.628143
893.627930	-42.798092
899.011230	-52.106224
904.394531	-57.482685
909.777832	-59.527122
915.161133	-59.141827
920.544434	-59.310493
925.927734	-59.806530
931.311035	-62.895023
936.694336	-64.571831
942.077637	-62.824306
947.460938	-63.524044
952.844238	-64.676155
958.227539	-65.498863
963.610840	-63.919823
968.994141	-62.875042
974.377441	-64.040291
979.760742	-64.825859
985.144043	-62.592728
990.527344	-55.791023
995.910645	-47.393211
1001.293945	-41.786247
1006.677246	-39.959282
